resolution,date,chart,fiscal_year,action,source,council_member,organization,program,ein,amount,agency,agy_num,ua,purpose,flags
1,2019-07-23,Local Initiatives - Fiscal 2020,2020,rescind,,,"Ampry-Samuel Green City Force, Inc.",,800428040,-10000,DYCD,260,005,*,
1,2019-07-23,Local Initiatives - Fiscal 2020,2020,designate,,,"Ampry-Samuel Green Earth Poets Cafe, Inc.",,464951821,10000,DYCD,260,005,,
1,2019-07-23,Local Initiatives - Fiscal 2020,2020,rescind,,Brannan,Friends of New Utrecht Public Library,Creative Aging & Multicultural Programs,111904261,-5000,DFTA,125,003,,**
1,2019-07-23,Local Initiatives - Fiscal 2020,2020,designate,,Brannan,Brooklyn Public Library,Friends of New Utrecht Public Library - Creative Aging & Multicultural Programs,136400434,5000,BPL,038,001,,**
1,2019-07-23,Local Initiatives - Fiscal 2020,2020,rescind,,Brannan,"Association of Community Employment Programs for the Homeless, Inc.",Constantinides Street Cleaning Program,133846431,-21165,DYCD,260,005,,
1,2019-07-23,Local Initiatives - Fiscal 2020,2020,designate,,Brannan,"Constantinides Ansob Center for Refugees, Inc.",Refugee and Immigration Services,113534833,10000,DYCD,260,005,,
1,2019-07-23,Local Initiatives - Fiscal 2020,2020,designate,,Brannan,Constantinides Jackson Heights Beautification Group,,112925587,6165,DYCD,260,005,,
1,2019-07-23,Local Initiatives - Fiscal 2020,2020,designate,,Brannan,"Constantinides Center for the Integration and Advancement of New Americans (CIANA), Inc.",,743184835,5000,DYCD,260,005,,
1,2019-07-23,Local Initiatives - Fiscal 2020,2020,rescind,,Brannan,"Association of Community Employment Programs for the Homeless, Inc.",Constantinides Street Cleaning Program,133846431,-5000,DYCD,260,005,,**
1,2019-07-23,Local Initiatives - Fiscal 2020,2020,designate,,Brannan,Constantinides Queens Borough Public Library,Astoria Branch Library,136400434,5000,QBPL,039,001,,**
1,2019-07-23,Local Initiatives - Fiscal 2020,2020,rescind,,Brannan,"Association of Community Employment Programs for the Homeless, Inc.",Constantinides Street Cleaning Program,133846431,-5000,DYCD,260,005,,**
1,2019-07-23,Local Initiatives - Fiscal 2020,2020,designate,,Brannan,"Constantinides Latinas On The Verge of Excellence Love, Inc.",,463732667,5000,DYCD,260,312,,**
1,2019-07-23,Local Initiatives - Fiscal 2020,2020,rescind,,Holden,"Greater Ridgewood Youth Council, Inc., The",After-School Programs,112518141,-12500,DYCD,260,312,,
1,2019-07-23,Local Initiatives - Fiscal 2020,2020,designate,,Holden,"Salvatore LaRussa Dance Company, Inc.",,320119937,5000,DYCD,260,312,,
1,2019-07-23,Local Initiatives - Fiscal 2020,2020,designate,,Holden,"Greater Ridgewood Youth Council, Inc., The",,112518141,7500,DYCD,260,312,,
1,2019-07-23,Local Initiatives - Fiscal 2020,2020,rescind,,Holden,Greater Ridgewood Restoration Corporation,,112382250,-10000,SBS,801,002,,**
1,2019-07-23,Local Initiatives - Fiscal 2020,2020,rescind,,Holden,"Forest Park Trust, Inc.",Forest & Highland Park,311558645,-10000,DPR,846,006,,**
1,2019-07-23,Local Initiatives - Fiscal 2020,2020,rescind,,Holden,"Sunnyside Community Services, Inc.",Senior Services,510189327,-10000,DFTA,125,003,,**
1,2019-07-23,Local Initiatives - Fiscal 2020,2020,designate,,Holden,Police Department,102nd Precinct,136400434,30000,NYPD,056,100,,**
1,2019-07-23,Local Initiatives - Fiscal 2020,2020,rescind,,Holden,"Maspeth Chamber of Commerce, Inc.",Community Programs,113500705,-8000,SBS,801,002,,**
1,2019-07-23,Local Initiatives - Fiscal 2020,2020,rescind,,Holden,"Peter Cardella Senior Citizen Center, Inc.",,112328536,-18000,DFTA,125,003,,**
1,2019-07-23,Local Initiatives - Fiscal 2020,2020,rescind,,Holden,City University of New York,Queensborough Community College - Senior Loyalty Program,136400434,-3500,CUNY,042,001,,**
1,2019-07-23,Local Initiatives - Fiscal 2020,2020,designate,,Holden,"Midori Foundation, Inc.",Public School 229Q,133682472,2000,DCLA,126,003,,**
1,2019-07-23,Local Initiatives - Fiscal 2020,2020,designate,,Holden,"Friends of Veterans New York, Inc.",,472379392,5000,DYCD,260,005,,**
1,2019-07-23,Local Initiatives - Fiscal 2020,2020,designate,,Holden,"Greater Ridgewood Youth Council, Inc., The",,112518141,22500,DYCD,260,312,,**
1,2019-07-23,Local Initiatives - Fiscal 2020,2020,rescind,,Holden,Deutsch Department of Youth and Community Development,,136400434,-4000,DYCD,260,005,,**
1,2019-07-23,Local Initiatives - Fiscal 2020,2020,designate,,Holden,Deutsch Union of Orthodox Jewish Congregations of America,,135623717,4000,DYCD,260,312,,**
1,2019-07-23,Local Initiatives - Fiscal 2020,2020,rescind,,Holden,"Lancman 100 Suits for 100 Men, Inc.",,462971279,-5000,DYCD,260,005,*,**
